"hgnc_symbol","ensembl_gene_id","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"TNMD","ENSG00000000005",164.894549213475,3.2599624572799,0.184035614011407,17.7137586917162,3.28392063896927e-70,1.31564429737097e-67
"CFTR","ENSG00000001626",17.5861169417638,-2.50404572082121,0.192769742457228,-12.9898275989906,1.39741486993656e-38,9.83977682659373e-37
"WNT16","ENSG00000002745",1.96035912014731,1.36352693092223,0.409938517291996,3.32617422712441,0.000880468748183501,0.00269576012785072
"CD38","ENSG00000004468",695.691412748176,-1.39299956509582,0.0887898255211798,-15.6887296142229,1.80634484969727e-55,3.44044534077586e-53
"SLC22A16","ENSG00000004809",12.7492029303443,-1.42550736067587,0.196905652771133,-7.23954513552114,4.50192043041786e-13,4.85202339524473e-12
"ABCB5","ENSG00000004846",1.71753880101444,2.07932394043866,0.494602356115616,4.20403161191697,2.62202293671234e-05,0.000106764730676529
"SLC4A1","ENSG00000004939",7.65098999111681,2.50159888924837,0.383825104685991,6.51754890106769,7.14655267317122e-11,6.1428629697505e-10
"CALCR","ENSG00000004948",6.91858883655669,1.32835514061971,0.212394404343171,6.25419085181482,3.9958213001397e-10,3.16245121290575e-09
"SOX8","ENSG00000005513",163.337924596504,1.27573755481151,0.0927481600973211,13.7548556593777,4.76230218786549e-43,4.40291890604912e-41
"ITGAL","ENSG00000005844",197.304854821093,1.66731741367007,0.106568448956875,15.6455069956473,3.56518533742838e-55,6.64516229604632e-53
"CX3CL1","ENSG00000006210",2175.1250993042,1.07734005146292,0.0823396249265354,13.0841020034295,4.05929111888684e-39,2.94763733226668e-37
"CACNA1G","ENSG00000006283",23.7202594571611,1.41839420905531,0.150340286303186,9.43455838706384,3.92644719619265e-21,8.76160800405217e-20
"SCIN","ENSG00000006747",22.7969403731945,1.33259992272557,0.190237639372478,7.00492251229207,2.47122566264428e-12,2.47016261747824e-11
"PROM1","ENSG00000007062",704.512190678224,1.45415883728611,0.0903603378377854,16.092888451752,2.86169044213618e-58,6.31292533928205e-56
"DNAH9","ENSG00000007174",8.07391349969219,1.02369317313154,0.274344631908094,3.73141317186216,0.000190408638667952,0.000662542986999246
"MATK","ENSG00000007264",31.6162825272316,1.38918794696525,0.200860848995217,6.91617084122915,4.64014774984438e-12,4.53031792215199e-11
"PAX6","ENSG00000007372",1.55467772724711,1.69796883215659,0.386425784680894,4.39403605936584,1.11265347639725e-05,4.82537475672841e-05
"E2F2","ENSG00000007968",17.4402436042412,-1.23405868845228,0.184135162489558,-6.70191761186437,2.05702012323834e-11,1.87248462772192e-10
"CAMK1G","ENSG00000008118",2.56897458017694,2.3778432641345,0.404282315153542,5.88164056404846,4.06219750010074e-09,2.87488109372612e-08
"TFAP2B","ENSG00000008196",1.57337835610636,1.24248496664057,0.448326662584935,2.77138316841726,0.00558186993415791,0.0143003363877305
"AASS","ENSG00000008311",5626.81857951358,-1.00994565560184,0.072019862674526,-14.0231544201356,1.1250087570522e-44,1.13658493411752e-42
"PLEKHG6","ENSG00000008323",21.4569654764146,-1.06162363114926,0.355601686723085,-2.985429121364,0.00283180755936373,0.00775720311864372
"MGST1","ENSG00000008394",2607.48600002217,-1.22107125407901,0.134380036369107,-9.0867013216535,1.02089358147566e-19,2.04149430764968e-18
"PGLYRP1","ENSG00000008438",8.01287371487725,1.73936269892161,0.36528139673675,4.76170622008195,1.91962998320765e-06,9.43447144750558e-06
"TRAF3IP3","ENSG00000009790",118.310101431725,1.39102358370325,0.110629235289258,12.5737430984333,2.94445978350446e-36,1.84584794521669e-34
"ETV7","ENSG00000010030",15.0166477971212,1.2384329417575,0.191334389965097,6.47261029229202,9.63241611998017e-11,8.15689659528447e-10
"FMO1","ENSG00000010932",61.0504673780086,1.25756138145541,0.156553411758098,8.03279447782693,9.5277198321117e-16,1.33208453569295e-14
"MRC2","ENSG00000011028",2619.44893741334,1.25186456659883,0.0985764274973023,12.699431277656,5.95609593599022e-37,3.85157187103783e-35
"ZBTB32","ENSG00000011590",1.52512342526807,1.63992046880353,0.482405323563983,3.3994659442974,0.000675175874285427,0.00211572912867199
"CD22","ENSG00000012124",27.6583019057362,1.03696806260595,0.131586484875455,7.88050584060688,3.26058380702937e-15,4.30157640401243e-14
"NR1H4","ENSG00000012504",1.18818099149277,2.90168276155183,0.644287074699158,4.50371096286037,6.67770141046586e-06,3.00867738704482e-05
"CD6","ENSG00000013725",57.7325400356405,1.77716063070236,0.141061746777601,12.5984589819679,2.1531008479891e-36,1.3546268963296e-34
"DPEP1","ENSG00000015413",3.48706257523295,1.23574194196936,0.481869308172418,2.56447530691703,0.0103331931687992,0.0248131896588699
"CHDH","ENSG00000016391",333.930680382372,-1.45953166886164,0.0809453121727313,-18.0310833287925,1.1109358075977e-72,5.09495625971288e-70
"IL20RA","ENSG00000016402",276.710038708921,-1.20417078405735,0.119430085213548,-10.082641923132,6.5929154824212e-24,1.82667781510168e-22
"SLC11A1","ENSG00000018280",633.716290638765,-1.87425243929239,0.115391500770244,-16.2425518931781,2.52210402255585e-59,5.78341682277528e-57
"MARCO","ENSG00000019169",786.040962925402,-1.13982818504518,0.203146927259114,-5.61085614448564,2.01328076515184e-08,1.30046147274587e-07
